# x, y
0.57,5.30,-1.00
1.35,0.21,1.00
0.60,4.02,-1.00
0.85,1.12,1.00
1.94,0.95,1.00
-0.62,4.67,-1.00
1.89,0.74,1.00
1.07,0.65,1.00
2.15,0.96,1.00
1.85,0.42,1.00
0.92,4.42,-1.00
1.13,1.15,1.00
1.32,4.18,-1.00
1.85,0.55,1.00
2.41,0.68,1.00
2.17,0.67,1.00
1.66,3.56,-1.00
-0.56,4.70,-1.00
1.65,1.91,1.00
1.85,0.09,1.00
0.28,4.77,-1.00
2.57,0.41,1.00
1.84,1.54,1.00
2.91,1.14,1.00
1.44,4.52,-1.00
1.71,5.03,-1.00
2.47,0.26,1.00
1.67,4.95,-1.00
1.21,0.54,1.00
1.73,0.91,1.00
1.49,3.91,-1.00
1.46,4.35,-1.00
0.45,3.96,-1.00
0.70,3.45,-1.00
0.28,4.12,-1.00
2.20,2.18,1.00
0.82,4.79,-1.00
1.49,1.04,1.00
1.44,4.80,-1.00
0.36,4.09,-1.00
2.15,4.54,-1.00
1.53,4.50,-1.00
2.81,1.02,1.00
0.67,5.75,-1.00
1.83,0.33,1.00
2.23,1.15,1.00
1.14,4.24,-1.00
0.67,4.04,-1.00
1.56,0.06,1.00
0.69,4.68,-1.00
1.16,3.79,-1.00
0.62,3.63,-1.00
1.44,3.59,-1.00
2.42,1.43,1.00
2.22,0.42,1.00
1.18,0.49,1.00
2.27,0.81,1.00
0.64,0.91,1.00
1.06,4.11,-1.00
1.99,0.30,1.00
1.76,0.85,1.00
0.62,4.27,-1.00
1.10,4.89,-1.00
2.00,1.72,1.00
2.38,1.16,1.00
1.99,0.91,1.00
1.75,0.41,1.00
2.68,0.30,1.00
0.20,4.46,-1.00
0.40,3.83,-1.00
0.95,4.44,-1.00
0.11,4.78,-1.00
2.62,1.14,1.00
0.60,4.09,-1.00
1.54,1.99,1.00
2.05,0.90,1.00
1.81,0.38,1.00
1.24,0.87,1.00
2.83,-0.01,1.00
0.89,4.99,-1.00
1.69,1.83,1.00
1.25,4.47,-1.00
1.49,4.99,-1.00
1.69,4.49,-1.00
0.27,5.47,-1.00
1.36,3.33,-1.00
2.02,4.71,-1.00
0.30,3.87,-1.00
2.95,1.21,1.00
2.35,1.53,1.00
1.65,3.66,-1.00
1.35,3.34,-1.00
-0.28,4.38,-1.00
2.18,0.17,1.00
0.90,4.95,-1.00
1.79,0.51,1.00
2.42,0.09,1.00
1.05,4.54,-1.00
1.21,3.65,-1.00
0.74,4.53,-1.00
0.43,4.33,-1.00
1.75,0.27,1.00
0.73,5.04,-1.00
